IDdathang,CCCD,IDDonvicungcap,Thoigiandat,Soluongdat
DH001,464498628,DVCC011,2024-01-15,12
DH002,198178331,DVCC008,2024-02-03,27
DH003,464498628,DVCC003,2024-03-21,35
DH004,198178331,DVCC009,2024-04-07,18
DH005,198178331,DVCC009,2024-05-12,6
DH006,427553754,DVCC006,2024-06-29,23
DH007,464498628,DVCC005,2024-07-18,39
DH008,198178331,DVCC012,2024-08-25,15
DH009,198178331,DVCC007,2024-09-14,31
DH010,427553754,DVCC008,2024-10-30,9
DH011,427553754,DVCC005,2024-11-06,40
DH012,464498628,DVCC007,2024-12-19,20
DH013,427553754,DVCC005,2024-02-28,34
DH014,198178331,DVCC002,2024-05-05,8
DH015,464498628,DVCC008,2024-09-01,17
DH016,464498628,DVCC001,2024-11-22,28
